ID,NOMBRE,HORAS TRABAJADAS,SALARIO
870,PEARLA,220,33000.000000
871,PHELIA,60,33000.000000
872,MADONNA,120,10000.000000
873,THOMASA,90,18000.000000
874,ESTELLA,325,20000.000000
875,SAW,60,15000.000000
876,CECIL,75,37000.000000
877,MAC,60,25000.000000
878,RALF,120,12000.000000
879,BARBEY,325,12000.000000
880,JOSI,120,18000.000000
881,KENNA,120,25000.000000
882,RINA,75,25000.000000
883,CALLIDA,88,33000.000000
884,LONA,220,30000.000000
885,JAN,90,18000.000000
886,BAILEY,88,30000.000000
887,GUILLERMO,75,42000.000000
888,KATLIN,88,25000.000000
889,FLO,325,42000.000000
890,MADEL,180,12000.000000
891,CONANT,75,37000.000000
892,DEVLAND,60,10000.000000
893,ANNAMARIE,120,20000.000000
894,GABBIE,220,42000.000000
895,FRASQUITO,90,15000.000000
896,OBERON,88,15000.000000
897,GABRIELL,120,10000.000000
898,KI,220,30000.000000
899,MARTELLE,120,15000.000000
900,RICCARDO,90,42000.000000
901,SHAUGHN,180,50000.000000
902,CORAL,120,18000.000000
903,JUDAS,120,10000.000000
904,JOSIAH,325,12000.000000
905,FREDA,60,42000.000000
906,LYNN,325,37000.000000
907,TABB,325,50000.000000
908,BRITTANY,180,18000.000000
909,LEO,88,42000.000000
910,ATLANTE,120,33000.000000
911,MAURIE,180,50000.000000
912,OREN,120,20000.000000
913,ANETTA,60,10000.000000
914,CURRY,88,20000.000000
915,TYRONE,180,15000.000000
916,SAUNDER,180,37000.000000
917,LUIS,60,12000.000000
918,ALYSIA,325,37000.000000
919,CALYPSO,90,12000.000000
920,GRETNA,220,42000.000000
921,ODIE,90,20000.000000
922,WENDA,90,12000.000000
923,EZEKIEL,75,20000.000000
924,ORLAN,60,25000.000000
925,WITTIE,90,37000.000000
926,ABBIE,90,18000.000000
927,ROBINIA,120,10000.000000
928,HAYDEN,180,30000.000000
929,MELODY,60,20000.000000
930,EMORY,325,37000.000000
931,CALLIE,75,10000.000000
932,DEBBY,180,18000.000000
933,GUI,325,20000.000000
934,DORETTE,120,37000.000000
935,JILLANE,90,37000.000000
936,CAROLINA,88,33000.000000
937,RANDY,120,15000.000000
938,ARABEL,180,50000.000000
939,VERINA,75,37000.000000
940,JOSEFINA,90,30000.000000
941,NINA,120,25000.000000
942,VERNEN,120,18000.000000
943,LORIA,180,25000.000000
944,ISABEAU,88,37000.000000
945,CHERICE,220,15000.000000
946,KIMBERLEY,325,18000.000000
947,MARTYN,180,25000.000000
948,AGUSTIN,75,25000.000000
949,CLERISSA,120,15000.000000
950,LONNA,120,10000.000000
951,WAKE,220,25000.000000
952,EDWINA,75,42000.000000
953,LACEY,75,50000.000000
954,LAETITIA,90,33000.000000
955,DELILA,325,20000.000000
956,SIOUX,120,12000.000000
957,FLOYD,75,15000.000000
958,TRISTA,75,50000.000000
959,SHAUGHN,90,15000.000000
960,ZITELLA,120,42000.000000
961,GINNIE,180,15000.000000
962,BURTY,60,12000.000000
963,ARLEY,120,33000.000000
964,ANSLEY,75,37000.000000
965,KIRSTIN,180,12000.000000
966,KARON,88,10000.000000
967,ESME,120,37000.000000
968,BERENICE,325,10000.000000
969,CHARLIE,325,50000.000000
970,NOACH,325,12000.000000
971,MERCEDES,180,12000.000000
972,SLOAN,325,42000.000000
973,GUGLIELMA,120,15000.000000
974,HERRICK,75,30000.000000
975,ALEKSANDR,88,42000.000000
976,ARLINA,325,33000.000000
977,WENONAH,325,12000.000000
978,WARNER,90,30000.000000
979,LIBBEY,120,42000.000000
980,BRANA,60,10000.000000
981,GENEVIEVE,180,20000.000000
982,SHARAI,75,10000.000000
983,JOSI,120,12000.000000
984,PEBROOK,60,33000.000000
985,ERNA,325,33000.000000
986,FERD,88,25000.000000
987,MOHAMMED,220,42000.000000
988,DAWN,180,37000.000000
989,WANDIE,60,25000.000000
990,CHIARRA,325,18000.000000
991,ZACCARIA,88,33000.000000
992,TRENNA,90,10000.000000
993,ANGELIA,60,50000.000000
994,RAQUELA,180,12000.000000
995,MAXI,325,18000.000000
996,ATALANTA,90,37000.000000
997,DE WITT,88,12000.000000
998,JAYE,75,25000.000000
999,TAMARRA,60,15000.000000
1000,SALEEM,60,20000.000000
